Neighborhood Cluster,Neighborhood Cluster Names,School Year_x,Count of English Learner Students,English Learner Students as  share of Neighborhood Cluster,Count of At Risk Students,At Risk as share of Neighborhood Cluster,Count of Special Education Students,Special Education Students as share of Neighborhood Cluster,Sum of Enrollment by Sector and Grade Band,Sum of Total Enrollment (DCPS & PCS)
Cluster 1,"Kalorama Heights, Adams Morgan, Lanier Heights",SY17-18,203,0.27,174,0.23,82,0.11,1504,2383
Cluster 10,"Hawthorne, Barnaby Woods, Chevy Chase",SY17-18,63,0.04,62,0.04,106,0.06,816,816
Cluster 11,"Friendship Heights, American University Park, Tenleytown",SY17-18,48,0.03,40,0.03,94,0.07,4041,4041
Cluster 12,"North Cleveland Park, Forest Hills, Van Ness",SY17-18,115,0.17,52,0.08,52,0.07,573,573
Cluster 13,"Spring Valley, Palisades, Wesley Heights, Foxhall Crescent, Foxhall Village, Georgetown Reservoir",SY17-18,43,0.06,26,0.03,52,0.07,817,817
Cluster 14,"Cathedral Heights, McLean Gardens, Glover Park",SY17-18,171,0.17,68,0.07,60,0.06,438,438
Cluster 15,"Cleveland Park, Woodley Park, Massachusetts Avenue Heights, Woodland-Normanstone Terrace",SY17-18,62,0.1,30,0.05,43,0.07,1465,1465
Cluster 16,"Colonial Village, Shepherd Park, North Portal Estates",SY17-18,47,0.09,61,0.12,57,0.11,364,364
Cluster 17,"Takoma, Brightwood, Manor Park",SY17-18,1531,0.37,1470,0.36,503,0.12,4456,8912
Cluster 18,"Brightwood Park, Crestwood, Petworth",SY17-18,2164,0.32,2406,0.36,883,0.13,7949,15383
Cluster 19,"Lamont Riggs, Queens Chapel, Fort Totten, Pleasant Hill",SY17-18,802,0.29,1086,0.41,403,0.15,2550,5100
Cluster 2,"Columbia Heights, Mt. Pleasant, Pleasant Plains, Park View",SY17-18,2276,0.37,2467,0.42,889,0.14,8171,13551
Cluster 20,"North Michigan Park, Michigan Park, University Heights",SY17-18,125,0.1,371,0.29,179,0.14,1060,2120
Cluster 21,"Edgewood, Bloomingdale, Truxton Circle, Eckington",SY17-18,302,0.11,1154,0.44,377,0.14,5837,11674
Cluster 22,"Brookland, Brentwood, Langdon",SY17-18,212,0.09,1052,0.44,342,0.14,2235,3958
Cluster 23,"Ivy City, Arboretum, Trinidad, Carver Langston",SY17-18,275,0.1,1581,0.57,458,0.16,3453,6854
Cluster 24,"Woodridge, Fort Lincoln, Gateway",SY17-18,83,0.06,473,0.35,168,0.12,515,515
Cluster 25,"Union Station, Stanton Park, Kingman Park",SY17-18,75,0.02,1009,0.33,387,0.13,4903,9563
Cluster 26,"Capitol Hill, Lincoln Park",SY17-18,73,0.03,672,0.26,269,0.1,3988,7459
Cluster 27,"Near Southeast, Navy Yard",SY17-18,N<10,N<10,119,0.36,51,0.15,649,1029
Cluster 28,Historic Anacostia,SY17-18,13,0.01,1029,0.69,265,0.18,614,1228
Cluster 3,"Howard University, Le Droit Park, Cardozo/Shaw",SY17-18,88,0.15,227,0.41,80,0.14,1305,2136
Cluster 30,"Mayfair, Hillbrook, Mahaning Heights",SY17-18,66,0.03,1179,0.58,328,0.16,1944,1944
Cluster 31,"Deanwood, Burrville, Grant Park, Lincoln Heights, Fairmont Heights",SY17-18,71,0.02,2089,0.61,612,0.18,3518,7036
Cluster 32,"River Terrace, Benning, Greenway, Dupont Park",SY17-18,85,0.03,1798,0.6,508,0.17,1622,2229
Cluster 33,"Capitol View, Marshall Heights, Benning Heights",SY17-18,177,0.04,2632,0.58,748,0.16,3242,5854
Cluster 34,"Twining, Fairlawn, Randle Highlands, Penn Branch, Fort Davis Park, Fort Dupont",SY17-18,47,0.02,1682,0.56,483,0.16,1786,1786
Cluster 36,"Woodland/Fort Stanton, Garfield Heights, Knox Hill",SY17-18,10,0,1602,0.74,416,0.19,1321,2642
Cluster 37,"Sheridan, Barry Farm, Buena Vista",SY17-18,17,0.01,1716,0.68,446,0.17,3864,6376
Cluster 38,"Douglas, Shipley Terrace",SY17-18,40,0.01,2566,0.68,680,0.17,1155,2055
Cluster 39,"Congress Heights, Bellevue, Washington Highlands",SY17-18,66,0.01,5609,0.68,1443,0.17,9122,18244
Cluster 4,"Georgetown, Burleith/Hillandale",SY17-18,36,0.15,11,0.05,16,0.07,392,392
Cluster 5,"West End, Foggy Bottom, GWU",SY17-18,11,0.09,19,0.16,N<10,N<10,1421,2369
Cluster 6,"Dupont Circle, Connecticut Avenue/K Street",SY17-18,64,0.21,22,0.07,18,0.06,174,174
Cluster 7,"Shaw, Logan Circle",SY17-18,396,0.25,716,0.47,221,0.14,1903,3503
Cluster 8,"Downtown, Chinatown, Penn Quarters, Mount Vernon Square, North Capitol Street",SY17-18,113,0.1,657,0.57,201,0.17,1339,2518
Cluster 9,"Southwest Employment Area, Southwest/Waterfront, Fort McNair, Buzzard Point",SY17-18,35,0.03,631,0.59,204,0.19,969,1938
Cluster 1,"Kalorama Heights, Adams Morgan, Lanier Heights",SY18-19,195,0.25,167,0.22,88,0.11,824,824
Cluster 10,"Hawthorne, Barnaby Woods, Chevy Chase",SY18-19,88,0.05,53,0.03,121,0.07,887,887
Cluster 11,"Friendship Heights, American University Park, Tenleytown",SY18-19,61,0.04,47,0.03,114,0.08,4042,4042
Cluster 12,"North Cleveland Park, Forest Hills, Van Ness",SY18-19,122,0.16,75,0.1,56,0.07,601,601
Cluster 13,"Spring Valley, Palisades, Wesley Heights, Foxhall Crescent, Foxhall Village, Georgetown Reservoir",SY18-19,40,0.05,24,0.03,58,0.08,796,796
