,row_#,cocstate,coc,coc_id,hudnum,status,year,organization_id,organization_name,hmis_org_id,project_id,project_name,hmis_project_id,hic_date,project_type,bed_type,geo_code,inventory_type,beginsoperationswithinyear,target_population,mc_kinney-vento,mckinneyventoesg,mckinneyventoesges,mckinneyventoesgrrh,mckinneyventococ,mckinneyventococsh,mckinneyventococth,mckinneyventococpsh,mckinneyventococrrh,mckinneyventococsro,mckinneyventospc,mckinneyventos8,mckinneyventoshp,federalfunding,federalfundingvash,federalfundingssvf,federalfundinggpd,federalfundinggpdbh,federalfundinggpdld,federalfundinggpdhh,federalfundinggpdct,federalfundinggpdsith,federalfundinggpdtp,federalfundinghchv,federalfundinghchvcrs,federalfundinghchvsh,federalfundingcwt,federalfundingbcp,federalfundingtlp,federalfundingmgh,federalfundingrhydp,federalfundinghopwa,federalfundinghopwahmv,federalfundinghopwaph,federalfundinghopwastsf,federalfundinghopwath,federalfundingpih,federalfundingother,federalfundingotherspecify,housingtype,victim_service_provider,address1,address2,city,state,zip,beds_hh_w_children,units_hh_w_children,hmis_beds_hh_w_children,veteran_beds_hh_w_children,youth_beds_hh_w_children,ch_beds_hh_w_children,beds_hh_wo_children,hmis_beds_hh_wo_children,veteran_beds_hh_wo_children,youth_beds_hh_wo_children,ch_beds_hh_wo_children,beds_hh_w_only_children,hmis_beds_hh_w_only_children,ch_beds_hh_w_only_children,year-round_beds,dv_beds,total_seasonal_beds,seasonal_beds_available_in_hmis,availability_start_date,availability_end_date,ov_beds,hmis_ov_beds,pit_count,total_beds,updated_on,mergeddefunctyear,questionusesdescriptorelements,questiondesirestousedescriptorelements,notes,projectnotes,sandyrelated,sandyrelatednote
1701,368497,CA,Los Angeles City & County CoC,1220,CA-600,Submitted,2019,352,1736 Family Crisis Center,4,116935,1736 FSC Bridge Housing,3254,2019-01-23 00:00:00,ES,F,63744,C,,DV,0.0,0,,,0,,,,,,0,0,0,0.0,0,0,0,,,,,,,0,,,0,0,0,0,0,0,,,,,0,0,,Site-based â€“ single site,1,,,,,90503.0,18.0,9.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,0.0,0.0,,18,18.0,0.0,0.0,,,0.0,0.0,9.0,18,2019-04-03 02:44:31,,1,,,SPA 8,0,
1702,366782,CA,Los Angeles City & County CoC,1220,CA-600,Submitted,2019,352,1736 Family Crisis Center,4,105801,CalOES - Housing First,3163,2019-01-23 00:00:00,RRH,,62118,C,,DV,0.0,0,,,0,,,,,,0,0,0,0.0,0,0,0,,,,,,,0,,,0,0,0,0,0,0,,,,,0,0,,Tenant-based â€“ scattered site,1,,,,,90018.0,43.0,13.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,0.0,0.0,,43,43.0,,,,,,,43.0,43,2019-03-31 01:46:42,,1,,,SPA 6,0,
1703,366776,CA,Los Angeles City & County CoC,1220,CA-600,Submitted,2019,352,1736 Family Crisis Center,4,116541,CES Bridge Housing for Women SPA 8,2824,2019-01-23 00:00:00,ES,F,63744,C,,DV,0.0,0,,,0,,,,,,0,0,0,0.0,0,0,0,,,,,,,0,,,0,0,0,0,0,0,,,,,0,0,,Site-based â€“ single site,1,,,,,90254.0,0.0,0.0,0.0,0.0,0.0,,20.0,0.0,0.0,0.0,,0.0,0.0,,20,20.0,0.0,0.0,,,0.0,0.0,4.0,20,2019-03-31 01:47:41,,1,,,SPA 8,0,
1704,368496,CA,Los Angeles City & County CoC,1220,CA-600,Submitted,2019,352,1736 Family Crisis Center,4,116934,CES Bridge Housing Individuals SPA 8,3301,2019-01-23 00:00:00,ES,F,63744,C,,DV,0.0,0,,,0,,,,,,0,0,0,0.0,0,0,0,,,,,,,0,,,0,0,0,0,0,0,,,,,0,0,,Site-based â€“ single site,1,,,,,90503.0,0.0,0.0,0.0,0.0,0.0,,5.0,0.0,0.0,0.0,,0.0,0.0,,5,5.0,0.0,0.0,,,0.0,0.0,3.0,5,2019-04-03 02:25:44,,1,,,SPA 8,0,
1705,374989,CA,Los Angeles City & County CoC,1220,CA-600,Submitted,2019,352,1736 Family Crisis Center,4,118218,CES Crisis Housing Individuals SPA 8,3164,2019-01-23 00:00:00,ES,F,62118,C,,DV,0.0,0,,,0,,,,,,0,0,0,0.0,0,0,0,,,,,,,0,,,0,0,0,0,0,0,,,,,0,0,,Site-based â€“ single site,1,,,,,90503.0,0.0,0.0,0.0,0.0,0.0,,10.0,0.0,0.0,0.0,,0.0,0.0,,10,10.0,0.0,0.0,,,0.0,0.0,7.0,10,2019-04-16 16:32:29,,1,,,SPA 8,0,
1706,366784,CA,Los Angeles City & County CoC,1220,CA-600,Submitted,2019,352,1736 Family Crisis Center,4,107977,CES RRH Individual SPA 8,3166,2019-01-23 00:00:00,RRH,,63744,C,,DV,0.0,0,,,0,,,,,,0,0,0,0.0,0,0,0,,,,,,,0,,,0,0,0,0,0,0,,,,,0,0,,Tenant-based â€“ scattered site,1,,,,,90503.0,0.0,0.0,0.0,0.0,0.0,,11.0,0.0,0.0,0.0,,0.0,0.0,,11,11.0,,,,,,,11.0,11,2019-04-06 17:50:47,,1,,,SPA 8,0,
1707,366778,CA,Los Angeles City & County CoC,1220,CA-600,Submitted,2019,352,1736 Family Crisis Center,4,3718,Domestic Violence Shelter - LA1,2981,2019-01-23 00:00:00,ES,F,62118,C,,DV,0.0,0,,,0,,,,,,0,0,0,0.0,0,0,0,,,,,,,0,,,0,0,0,0,0,0,,,,,0,0,,Site-based â€“ clustered / multiple sites,1,,,,,90018.0,5.0,2.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,0.0,0.0,,5,5.0,0.0,0.0,,,0.0,0.0,5.0,5,2019-07-22 18:03:04,,1,,,SPA 6,0,
1708,368195,CA,Los Angeles City & County CoC,1220,CA-600,Submitted,2019,352,1736 Family Crisis Center,4,112892,DV/IPV RRH Pilot Program,3162,2019-01-23 00:00:00,RRH,,63744,C,,DV,0.0,0,,,0,,,,,,0,0,0,0.0,0,0,0,,,,,,,0,,,0,0,0,0,0,0,,,,,0,0,,Tenant-based â€“ scattered site,1,,,,,90503.0,113.0,34.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,0.0,0.0,,113,113.0,,,,,,,113.0,113,2019-04-02 04:09:20,,1,,,SPA 8,0,
1709,366783,CA,Los Angeles City & County CoC,1220,CA-600,Submitted,2019,352,1736 Family Crisis Center,4,103879,OVW - TH,3165,2019-01-23 00:00:00,TH,,62118,C,,DV,0.0,0,,,0,,,,,,0,0,0,1.0,0,0,0,,,,,,,0,,,0,0,0,0,0,0,,,,,0,1,OVW Grant to End Violence Against Women,Tenant-based â€“ scattered site,1,,,,,90018.0,22.0,11.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,0.0,0.0,,22,22.0,,,,,,,3.0,22,2019-04-03 02:33:49,,1,,"Provider indicated that this project is funded by OVW in which they encourage quality over quantity. They had a fuller program in previous quarters, but OVW and NNEDV encouraged 1736 to have lower enrollment in order to provide more intensive services to those enrolled.",SPA 6,0,
1710,366785,CA,Los Angeles City & County CoC,1220,CA-600,Submitted,2019,352,1736 Family Crisis Center,4,81551,South Bay 1 Domestic Violence Shelter,3167,2019-01-23 00:00:00,TH,,62118,C,,DV,0.0,0,,,0,,,,,,0,0,0,0.0,0,0,0,,,,,,,0,,,0,0,0,0,0,0,,,,,0,0,,Site-based â€“ clustered / multiple sites,1,,,,,90018.0,20.0,5.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,0.0,0.0,,20,20.0,,,,,,,7.0,20,2019-04-02 01:00:05,,1,,"Provider indicated that their low utilization has resulted in staff turnover and having two competing grants, which led to sheltering participants in their emergency shelter than their transitional housing program.",SPA 6,0,
